Set,zipcode,price_sold,zestimate,bedroom,bathroom,area,year,parking,lot,sold_date,price_list_f,date_list,price_list,tax,tax_assessment,walk,bike,school,heating_baseboard_dummy,heating_forced_water_dummy,heating_forced_air_dummy,heating_natural_gas_dummy,heating_other_dummy,heating_central_air_dummy,heating_gas_connected_dummy,cooling_central_air_dummy,cooling_ductless_dummy,cooling_window_units_dummy,cooling_wall_units_dummy,cooling_other_dummy,cooling_none_dummy,bedroom_6_plus,bathroom_6_plus
A,01940,875000.0,790100.0,3,2,2603.0,1907,2.0,0.23,2024-09-26,799000.0,2022-03-16,599000.0,5955.0,527000.0,9.0,27.0,7.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
A,01940,1400000.0,1406200.0,3,4,3186.0,1957,2.0,0.34,2024-08-16,1349000.0,2024-06-07,1349000.0,8555.0,757100.0,24.0,42.0,7.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
A,01940,1200000.0,1209000.0,6,4,3653.0,1960,2.0,0.35,2024-07-17,1250000.0,2024-05-16,1350000.0,10195.0,902200.0,10.0,17.0,7.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
A,01940,730000.0,714000.0,3,2,1629.0,1961,1.0,0.37,2024-09-03,725000.0,2024-07-10,725000.0,8486.0,751000.0,13.0,21.0,7.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A,01940,1010000.0,1028100.0,3,2,2080.0,1959,2.0,0.45,2024-09-25,989000.0,2024-09-04,989000.0,8901.0,787700.0,23.0,23.0,7.0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
A,01940,750000.0,755800.0,3,2,1474.0,1948,2.0,0.46,2024-07-16,750000.0,2024-04-30,750000.0,6821.0,603600.0,14.0,29.0,7.0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
A,01940,905000.0,905300.0,3,2,2307.0,1958,2.0,0.47,2024-09-17,899900.0,2024-07-31,899900.0,9594.0,849000.0,16.0,33.0,7.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
A,01940,1008000.0,989100.0,3,3,2383.0,1941,1.0,0.53,2024-09-03,989000.0,2024-05-30,989000.0,8708.0,770600.0,15.0,31.0,7.0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
A,01940,800000.0,787300.0,3,3,1770.0,1840,4.0,0.59,2024-09-26,799900.0,2020-03-24,689888.0,8151.0,721300.0,47.0,25.0,7.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
A,01940,1290000.0,1299100.0,4,3,3776.0,1974,2.0,0.61,2024-07-26,1199000.0,2024-06-19,1199000.0,11874.0,1050800.0,12.0,24.0,7.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
A,01940,960000.0,963900.0,3,3,2484.0,2015,2.0,0.65,2024-08-23,950000.0,2024-07-09,950000.0,10269.0,908800.0,35.0,23.0,7.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
A,01940,3349900.0,3349900.0,6,6,5790.0,2023,3.0,0.7,2024-08-16,3349900.0,2023-03-22,3349900.0,9372.0,829400.0,11.0,30.0,7.0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1
A,01940,2200000.0,2207600.0,4,4,4889.0,1971,2.0,1.03,2024-09-27,2299900.0,2023-09-27,995900.0,13432.0,1188700.0,8.0,24.0,7.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
A,01940,1800000.0,1808000.0,5,5,6572.0,1975,2.0,1.37,2024-08-16,1999999.0,2023-11-10,2200000.0,13473.0,1192300.0,1.0,9.0,7.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
A,01940,1796700.0,1810400.0,4,4,4336.0,1993,3.0,1.38,2024-07-26,1700967.0,2024-06-06,1700967.0,14153.0,1252500.0,11.0,15.0,7.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
A,01950,850000.0,853600.0,3,2,1616.0,1879,0.0,0.04,2024-08-09,875000.0,2016-03-08,549900.0,7273.0,677200.0,94.0,50.0,9.0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
A,01950,500000.0,501700.0,3,3,1620.0,1800,0.0,0.05,2024-08-23,575000.0,2024-05-18,675000.0,6857.0,638500.0,92.0,50.0,9.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
A,01950,691000.0,691400.0,2,1,1089.0,1948,2.0,0.09,2024-09-18,720000.0,2024-07-30,720000.0,4748.0,442100.0,86.0,62.0,9.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
A,01950,1350000.0,1360100.0,3,3,2400.0,1850,2.0,0.12,2024-07-30,1399900.0,2010-08-21,419000.0,10531.0,980500.0,68.0,51.0,9.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
